Marca de Tiempo, Uso de Memoria (%)
14:30:17, 79.9
14:30:18, 80.3
14:30:19, 80.4
14:30:20, 80.4
14:30:21, 80.3
14:30:22, 80.5
14:30:23, 80.5
14:30:24, 80.6
14:30:25, 80.2
14:30:26, 80.2
14:30:27, 80.2
14:30:28, 80.2
14:30:29, 80.2
14:30:30, 80.2
14:30:31, 80.1
14:30:32, 80.2
14:30:33, 80.3
14:30:34, 80.3
14:30:35, 80.3
14:30:36, 80.3
14:30:37, 80.2
14:30:38, 80.2
14:30:39, 80.2
14:30:40, 80.2
14:30:41, 80.2
14:30:42, 80.4
14:30:43, 80.5
14:30:44, 80.6
14:30:45, 80.6
14:30:46, 80.5
14:30:47, 80.5
14:30:48, 80.5
14:30:49, 80.5
14:30:50, 80.5
14:30:51, 80.6
14:30:52, 80.7
14:30:53, 80.8
14:30:54, 80.7
14:30:55, 80.8
14:30:56, 80.8
14:30:57, 80.8
14:30:58, 80.8
14:30:59, 80.8
14:31:00, 80.7
